ID,Language,Explanation,Key_Concept,Mnemonic,Review_Status,Reviewer_Comments
216,EN,"The image clearly shows the Bundesadler (Federal Eagle) mounted high on the wall of the plenary chamber of the Bundestag.  This stylized eagle with outstretched wings is a symbol of the Federal Republic of Germany and represents its sovereignty and unity.  Its presence in the Bundestag underscores the importance of this symbol in German democracy and governance.  The image depicts a session in progress, with members of parliament seated in the chamber.",The Bundesadler is a key symbol of German national identity and represents the Federal Republic of Germany.  It is important to understand its significance in the context of German politics and history.,"Think ""Bundestag - Bundesadler"" to connect the parliament building with the federal eagle symbol.",,
216,DE,"Das Bild zeigt deutlich den Bundesadler, der hoch an der Wand des Plenarsaals des Bundestages angebracht ist. Dieser stilisierte Adler mit ausgebreiteten Flügeln ist ein Symbol der Bundesrepublik Deutschland und repräsentiert ihre Souveränität und Einheit. Seine Präsenz im Bundestag unterstreicht die Bedeutung dieses Symbols für die deutsche Demokratie und Regierungsführung. Das Bild zeigt eine laufende Sitzung mit den Abgeordneten im Plenarsaal.","Der Bundesadler ist ein Schlüsselsymbol der deutschen nationalen Identität und repräsentiert die Bundesrepublik Deutschland. Es ist wichtig, seine Bedeutung im Kontext der deutschen Politik und Geschichte zu verstehen.","Denken Sie an ""Bundestag - Bundesadler"", um das Parlamentsgebäude mit dem Symbol des Bundesadlers zu verbinden.",,
216,TR,"Görsel, Bundestag genel kurul salonunun duvarına monte edilmiş Federal Kartal'ı (Bundesadler) açıkça göstermektedir. Açılmış kanatları olan bu stilize kartal, Almanya Federal Cumhuriyeti'nin bir sembolüdür ve egemenliğini ve birliğini temsil eder. Bundestag'daki varlığı, bu sembolün Alman demokrasisi ve yönetimindeki önemini vurgular. Görsel, parlamento üyelerinin salonda oturduğu devam eden bir oturumu tasvir etmektedir.","Federal Kartal (Bundesadler), Alman ulusal kimliğinin önemli bir sembolüdür ve Almanya Federal Cumhuriyeti'ni temsil eder. Alman siyaseti ve tarihi bağlamında önemini anlamak önemlidir.","Parlamento binasını federal kartal sembolüyle ilişkilendirmek için ""Bundestag - Bundesadler"" diye düşünün.",,
216,UK,"На зображенні чітко видно Бундесадлера (Федерального Орла), встановленого високо на стіні пленарної зали Бундестагу. Цей стилізований орел з розпростертими крилами є символом Федеративної Республіки Німеччина та представляє її суверенітет і єдність. Його присутність у Бундестазі підкреслює важливість цього символу для німецької демократії та державного управління. На зображенні зображено сесію, що триває, з членами парламенту, які сидять у залі.",Бундесадлер є ключовим символом німецької національної ідентичності та представляє Федеративну Республіку Німеччина. Важливо розуміти його значення в контексті німецької політики та історії.,"Подумайте «Бундестаг - Бундесадлер», щоб пов’язати будівлю парламенту із символом федерального орла.",,
216,AR,توضح الصورة بوضوح النسر الاتحادي (Bundesadler) المثبت عالياً على جدار قاعة الجلسات العامة للبوندستاغ. يُعد هذا النسر المُصمم بأجنحة ممدودة رمزًا لجمهورية ألمانيا الاتحادية ويمثل سيادتها ووحدتها. يؤكد وجوده في البوندستاغ أهمية هذا الرمز في الديمقراطية والحكم الألمانيين. تُصوّر الصورة جلسة جارية، حيث يجلس أعضاء البرلمان في القاعة.,يُعد النسر الاتحادي رمزًا رئيسيًا للهوية الوطنية الألمانية ويمثل جمهورية ألمانيا الاتحادية. من المهم فهم أهميته في سياق السياسة والتاريخ الألمانيين.,"فكّر في ""Bundestag - Bundesadler""  لربط مبنى البرلمان برمز النسر الاتحادي.",,
2,EN,"In Germany, parents have the right to decide whether their children participate in religious education (Religionsunterricht) until the age of 14. This right is enshrined in Article 7 of the German Basic Law (Grundgesetz), which guarantees freedom of religion and belief.  It's a key aspect of the German education system, reflecting the historical and cultural significance of religion in the country.  While the state is neutral, it allows religious communities to offer instruction within the public school system, giving parents the choice to enroll their children or opt for ethics classes (Ethikunterricht) as an alternative.","This question tests knowledge of parental rights and the role of religion in the German education system, specifically the right to choose regarding religious education.",Fourteen is the age of choice for RE (Religious Education).,,
2,DE,"In Deutschland haben Eltern das Recht, bis zum 14. Lebensjahr ihres Kindes zu entscheiden, ob es am Religionsunterricht teilnimmt. Dieses Recht ist in Artikel 7 des Grundgesetzes verankert, der die Religionsfreiheit garantiert. Es spiegelt die historische und kulturelle Bedeutung der Religion in Deutschland wider. Obwohl der Staat neutral ist, ermöglicht er Religionsgemeinschaften, Unterricht im öffentlichen Schulsystem anzubieten, und gibt den Eltern die Wahl, ihre Kinder anzumelden oder stattdessen Ethikunterricht zu wählen.","Diese Frage prüft das Wissen über die Elternrechte und die Rolle der Religion im deutschen Bildungssystem, insbesondere das Wahlrecht bezüglich des Religionsunterrichts.",Vierzehn ist das Wahlalter für RU (Religionsunterricht).,,
2,TR,"Almanya'da, ebeveynlerin çocuklarının 14 yaşına kadar din eğitimine (Religionsunterricht) katılıp katılmayacağına karar verme hakkı vardır. Bu hak, Alman Anayasası'nın (Grundgesetz) 7. Maddesinde, din ve inanç özgürlüğünü garanti altına alan bir maddede yer almaktadır. Bu, Alman eğitim sisteminin önemli bir yönüdür ve ülkede dinin tarihsel ve kültürel önemini yansıtmaktadır. Devlet tarafsız olsa da, dini toplulukların devlet okullarında eğitim vermelerine izin verir ve ebeveynlere çocuklarını kaydettirme veya alternatif olarak etik derslerini (Ethikunterricht) seçme olanağı sunar.","Bu soru, ebeveyn hakları ve dinin Alman eğitim sistemindeki rolü, özellikle de din eğitimi konusunda seçim hakkı konusundaki bilgiyi test eder.","On dört, DE (Din Eğitimi) için seçim yaşıdır.",,
2,UK,"У Німеччині батьки мають право вирішувати, чи братимуть їхні діти участь у релігійному навчанні (Religionsunterricht) до 14 років. Це право закріплено у статті 7 Основного закону Німеччини (Grundgesetz), яка гарантує свободу віросповідання. Це ключовий аспект німецької системи освіти, що відображає історичне та культурне значення релігії в країні. Хоча держава є нейтральною, вона дозволяє релігійним громадам пропонувати навчання в державній шкільній системі, надаючи батькам вибір записати своїх дітей або обрати уроки етики (Ethikunterricht) як альтернативу.","Це питання перевіряє знання батьківських прав та ролі релігії в німецькій системі освіти, зокрема права вибору щодо релігійної освіти.",Чотирнадцять - це вік вибору для РО (Релігійна Освіта).,,
2,AR,في ألمانيا، يحق للآباء والأمهات أن يقرروا ما إذا كان أطفالهم سيشاركون في التعليم الديني (Religionsunterricht) حتى سن 14 عامًا. يكفل هذا الحق بموجب المادة 7 من القانون الأساسي الألماني (Grundgesetz)، الذي يضمن حرية الدين والمعتقد. إنه جانب أساسي من النظام التعليمي الألماني، يعكس الأهمية التاريخية والثقافية للدين في البلاد. على الرغم من أن الدولة محايدة، إلا أنها تسمح للجماعات الدينية بتقديم التعليم داخل نظام المدارس العامة، مما يمنح الآباء خيار تسجيل أطفالهم أو اختيار دروس الأخلاق (Ethikunterricht) كبديل.,يختبر هذا السؤال معرفة حقوق الوالدين ودور الدين في النظام التعليمي الألماني، وتحديداً الحق في الاختيار فيما يتعلق بالتعليم الديني.,أربعة عشر هو سن اختيار  التعليم الديني.,,
3,EN,"The correct answer, ""All residents and the state must abide by the laws,"" reflects the core principle of a Rechtsstaat (state of law).  In Germany, this means everyone, regardless of background or status, is subject to and protected by the law. This principle is enshrined in the German Basic Law (Grundgesetz), particularly Article 20, which establishes Germany as a democratic and social federal state based on the rule of law.  This ensures equality before the law and prevents arbitrary exercise of power.  Integration into German society means understanding and accepting this fundamental principle.","The key concept is the Rechtsstaat (state of law), meaning everyone, including the government, is bound by and equal under the law. This ensures fairness, justice, and protection against arbitrary power.","Remember the phrase ""Equal Under Law"" or ""Everyone Abides by Law"" to recall that in a Rechtsstaat, everyone, including the state, must follow the law.",,
3,DE,"Die richtige Antwort, ""Alle Einwohnerinnen/Einwohner und der Staat müssen sich an die Gesetze halten,"" spiegelt das Kernprinzip eines Rechtsstaats wider. In Deutschland bedeutet dies, dass jeder, unabhängig von Herkunft oder Status, dem Gesetz unterworfen ist und durch das Gesetz geschützt wird. Dieses Prinzip ist im deutschen Grundgesetz verankert, insbesondere in Artikel 20, der Deutschland als demokratischen und sozialen Bundesstaat auf der Grundlage der Rechtsstaatlichkeit etabliert. Dies gewährleistet Gleichheit vor dem Gesetz und verhindert die willkürliche Machtausübung. Integration in die deutsche Gesellschaft bedeutet, dieses Grundprinzip zu verstehen und zu akzeptieren.","Das Kernkonzept ist der Rechtsstaat, d.h. jeder, einschließlich der Regierung, ist an das Gesetz gebunden und gleich vor dem Gesetz. Dies gewährleistet Fairness, Gerechtigkeit und Schutz vor Willkür.","Merke dir den Satz ""Alle unter dem Gesetz"" oder ""Jeder hält sich ans Gesetz"", um dich daran zu erinnern, dass in einem Rechtsstaat jeder, auch der Staat, das Gesetz befolgen muss.",,
3,TR,"Doğru cevap olan ""Tüm sakinler ve devlet yasalara uymak zorundadır"", bir Rechtsstaat'ın (hukuk devleti) temel ilkesini yansıtır. Almanya'da bu, geçmişi veya statüsü ne olursa olsun herkesin yasaya tabi olduğu ve yasa tarafından korunduğu anlamına gelir. Bu ilke, Almanya'yı demokratik ve sosyal bir federal devlet olarak kuran 20. Maddesi başta olmak üzere, Alman Anayasası'nda (Grundgesetz) yer almaktadır. Bu, kanun önünde eşitliği sağlar ve keyfi güç kullanımını engeller. Alman toplumuna entegrasyon, bu temel ilkeyi anlamak ve kabul etmek anlamına gelir.","Anahtar kavram, hükümet de dahil olmak üzere herkesin yasaya bağlı ve yasa önünde eşit olduğu anlamına gelen Rechtsstaat'tır (hukuk devleti). Bu, adaleti, hakkaniyeti ve keyfi iktidara karşı korumayı sağlar.","Bir hukuk devletinde devletin de dahil olmak üzere herkesin yasaya uyması gerektiğini hatırlamak için ""Kanun Altında Eşitlik"" veya ""Herkes Yasalara Uymalı"" ifadesini hatırlayın.",,
3,UK,"Правильна відповідь «Усі жителі та держава повинні дотримуватися законів» відображає основний принцип правової держави (Rechtsstaat). У Німеччині це означає, що кожен, незалежно від походження чи статусу, підпорядковується закону та захищений ним. Цей принцип закріплений в Основному законі Німеччини (Grundgesetz), зокрема у статті 20, яка встановлює Німеччину як демократичну та соціальну федеративну державу на основі верховенства права. Це забезпечує рівність перед законом та запобігає свавільному здійсненню влади. Інтеграція в німецьке суспільство означає розуміння та прийняття цього фундаментального принципу.","Ключова концепція — це правова держава (Rechtsstaat), що означає, що кожен, включаючи уряд, пов’язаний законом і рівний перед ним. Це забезпечує справедливість, правосуддя та захист від свавілля влади.","Запам’ятайте фразу «Рівні перед законом» або «Всі дотримуються закону», щоб пам’ятати, що у правовій державі кожен, включаючи державу, повинен дотримуватися закону.",,
3,AR,"الإجابة الصحيحة ""يجب على جميع السكان والدولة الالتزام بالقوانين"" تعكس المبدأ الأساسي لدولة القانون (Rechtsstaat). في ألمانيا، هذا يعني أن الجميع، بغض النظر عن الخلفية أو الوضع، يخضع للقانون ويحميه. هذا المبدأ منصوص عليه في القانون الأساسي الألماني (Grundgesetz)، وخاصة المادة 20، التي تنص على أن ألمانيا دولة اتحادية ديمقراطية واجتماعية قائمة على سيادة القانون. هذا يضمن المساواة أمام القانون ويمنع ممارسة السلطة بشكل تعسفي. التكامل في المجتمع الألماني يعني فهم هذا المبدأ الأساسي وقبوله.",المفهوم الأساسي هو دولة القانون (Rechtsstaat)، أي أن الجميع، بما في ذلك الحكومة، ملزمون بالقانون ومتساوون أمامه. هذا يضمن الإنصاف والعدالة والحماية من السلطة التعسفية.,"تذكر عبارة ""متساوون بموجب القانون"" أو ""الجميع ملتزم بالقانون"" لتذكر أنه في دولة القانون، يجب على الجميع، بما في ذلك الدولة، اتباع القانون.",,
4,EN,"Freedom of speech (Meinungsfreiheit) is a cornerstone of German democracy, enshrined in Article 5 of the Basic Law (Grundgesetz).  It allows individuals to express their thoughts freely without censorship, contributing to open discourse and a vibrant society.  This right is not absolute and can be limited when it infringes on other rights, like hate speech or incitement to violence, but it is fundamental to German identity and integration.","This question tests knowledge of fundamental rights in Germany, specifically focusing on freedom of expression and its importance within a democratic society.","Think ""Mein"" (my) opinion is ""frei"" (free).  Meinungsfreiheit = My opinion is free.",,
4,DE,"Die Meinungsfreiheit ist ein Grundpfeiler der deutschen Demokratie und im Artikel 5 des Grundgesetzes verankert. Sie ermöglicht es jedem, seine Gedanken frei und ohne Zensur zu äußern, was zu einem offenen Diskurs und einer lebendigen Gesellschaft beiträgt. Dieses Recht ist nicht absolut und kann eingeschränkt werden, wenn es andere Rechte verletzt, wie z.B. bei Hassreden oder Aufruf zur Gewalt. Dennoch ist die Meinungsfreiheit grundlegend für die deutsche Identität und Integration.","Diese Frage prüft das Wissen über die Grundrechte in Deutschland, insbesondere die Meinungsfreiheit und ihre Bedeutung in einer demokratischen Gesellschaft.","Denken Sie an ""Mein"" - meine Meinung ist ""frei"". Meinungsfreiheit = Meine Meinung ist frei.",,
4,TR,"Düşünce özgürlüğü (Meinungsfreiheit), Alman demokrasisinin temel taşlarından biridir ve Temel Yasa'nın (Grundgesetz) 5. Maddesinde yer alır. Bireylerin sansür olmadan düşüncelerini özgürce ifade etmelerini sağlar ve açık bir söyleme ve canlı bir topluma katkıda bulunur. Bu hak mutlak değildir ve nefret söylemi veya şiddete teşvik gibi diğer hakları ihlal ettiğinde sınırlandırılabilir, ancak Alman kimliği ve entegrasyonu için temeldir.","Bu soru, Almanya'daki temel haklar hakkındaki bilgiyi, özellikle ifade özgürlüğüne ve demokratik bir toplumdaki önemine odaklanarak test eder.","""Mein"" (benim) fikrim ""frei"" (özgür). Meinungsfreiheit = Benim fikrim özgür.",,
4,UK,"Свобода слова (Meinungsfreiheit) є наріжним каменем німецької демократії, закріплена у статті 5 Основного закону (Grundgesetz). Вона дозволяє кожному вільно висловлювати свої думки без цензури, що сприяє відкритому діалогу та життєздатному суспільству. Це право не є абсолютним і може бути обмежене, якщо воно порушує інші права, такі як мова ворожнечі або підбурювання до насильства, але воно є фундаментальним для німецької ідентичності та інтеграції.","Це питання перевіряє знання основних прав у Німеччині, зокрема, свободи слова та її важливості в демократичному суспільстві.","Подумайте ""Mein"" (моя) думка ""frei"" (вільна). Meinungsfreiheit = Моя думка вільна.",,
4,AR,حرية التعبير (Meinungsfreiheit) هي حجر الزاوية في الديمقراطية الألمانية، وهي مكرسة في المادة 5 من القانون الأساسي (Grundgesetz). إنها تسمح للأفراد بالتعبير عن أفكارهم بحرية دون رقابة، مما يساهم في خطاب مفتوح ومجتمع نابض بالحياة. هذا الحق ليس مطلقًا ويمكن تقييده عندما ينتهك حقوقًا أخرى، مثل خطاب الكراهية أو التحريض على العنف، لكنه أساسي للهوية الألمانية والتكامل.,هذا السؤال يختبر معرفة الحقوق الأساسية في ألمانيا، مع التركيز بشكل خاص على حرية التعبير وأهميتها داخل المجتمع الديمقراطي.,"فكر في ""Mein"" (رأيي) ""frei"" (حر). Meinungsfreiheit = رأيي حر.",,
5,EN,"The correct answer, ""The voter may not be influenced or forced to vote in a certain way and must not suffer any disadvantages as a result of the election,"" reflects the core principle of free elections in Germany, as enshrined in Article 38 of the Basic Law (Grundgesetz).  This means the individual's choice of who to vote for is entirely their own, free from coercion, bribery, or intimidation.  This ensures democratic legitimacy and protects the individual's right to participate in shaping the government.  Free elections are a cornerstone of German democracy, reflecting its history and values after World War II, where free and fair elections were established to prevent a return to authoritarianism.","This question tests the concept of free and fair elections, a cornerstone of democratic systems.  It ensures individual voters can make their choices without coercion or influence, safeguarding the integrity of the electoral process.","Think ""Free Choice, No Force"":  Free elections mean you have a FREE CHOICE and NO FORCE can be used to influence your vote.",,
5,DE,"Die richtige Antwort, ""Die Wählerin/der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben,"" spiegelt das Kernprinzip freier Wahlen in Deutschland wider, wie es in Artikel 38 des Grundgesetzes verankert ist. Das bedeutet, dass die Wahl, wen man wählt, ganz allein der Person selbst überlassen ist, frei von Zwang, Bestechung oder Einschüchterung. Dies gewährleistet die demokratische Legitimität und schützt das Recht des Einzelnen, an der Gestaltung der Regierung mitzuwirken. Freie Wahlen sind ein Eckpfeiler der deutschen Demokratie und spiegeln ihre Geschichte und Werte nach dem Zweiten Weltkrieg wider, wo freie und faire Wahlen eingeführt wurden, um eine Rückkehr zum Autoritarismus zu verhindern.","Diese Frage prüft das Konzept der freien und fairen Wahlen, ein Eckpfeiler demokratischer Systeme. Es stellt sicher, dass einzelne Wähler ihre Wahl ohne Zwang oder Einfluss treffen können, wodurch die Integrität des Wahlprozesses gewahrt bleibt.","Denken Sie an ""Freie Wahl, Kein Zwang"": Freie Wahlen bedeuten, dass Sie eine FREIE WAHL haben und KEIN ZWANG angewendet werden kann, um Ihre Stimme zu beeinflussen.",,
5,TR,"Doğru cevap olan ""Seçmen, seçimde ne etkilenebilir ne de belirli bir şekilde oy vermeye zorlanabilir ve seçim nedeniyle herhangi bir dezavantaja maruz kalamaz"", Almanya'daki serbest seçimlerin temel ilkesini, Temel Yasa'nın (Grundgesetz) 38. Maddesinde yer aldığı gibi yansıtır.  Bu, bireyin kime oy vereceği seçiminin tamamen kendisine ait olduğu, zorlama, rüşvet veya gözdağından uzak olduğu anlamına gelir. Bu, demokratik meşruiyeti sağlar ve bireyin hükümeti şekillendirmeye katılma hakkını korur. Serbest seçimler, Alman demokrasisinin temel taşlarından biridir ve II. Dünya Savaşı'ndan sonra otoriterliğe dönüşü önlemek için serbest ve adil seçimlerin oluşturulduğu tarihini ve değerlerini yansıtır.","Bu soru, demokratik sistemlerin temel taşı olan serbest ve adil seçim kavramını test eder. Bireysel seçmenlerin seçimlerini zorlama veya etki olmadan yapabilmelerini sağlayarak seçim sürecinin bütünlüğünü korur.","Şunu düşünün: ""Özgür Seçim, Zorlama Yok"": Serbest seçimler, ÖZGÜR SEÇİM hakkınız olduğu ve oyunuzu etkilemek için hiçbir ZORLAMA kullanılamayacağı anlamına gelir.",,
5,UK,"Правильна відповідь: ""Виборець не може бути під впливом або примушений голосувати певним чином і не повинен зазнавати жодних недоліків внаслідок виборів"", що відображає основний принцип вільних виборів у Німеччині, закріплений у статті 38 Основного закону (Grundgesetz). Це означає, що вибір особи, за кого голосувати, є повністю її власним, вільним від примусу, підкупу чи залякування. Це забезпечує демократичну легітимність та захищає право особи брати участь у формуванні уряду. Вільні вибори є наріжним каменем німецької демократії, що відображає її історію та цінності після Другої світової війни, де вільні та чесні вибори були встановлені, щоб запобігти поверненню до авторитаризму.","Це питання перевіряє концепцію вільних і чесних виборів, наріжного каменю демократичних систем. Це гарантує, що окремі виборці можуть робити свій вибір без примусу чи впливу, захищаючи цілісність виборчого процесу.","Уявіть собі ""Вільний вибір, без примусу"": Вільні вибори означають, що у вас є ВІЛЬНИЙ ВИБІР і жодного ПРИМУСУ не можна використовувати для впливу на ваш голос.",,
5,AR,"الإجابة الصحيحة، ""لا يجوز التأثير على الناخب أو إجباره على التصويت بطريقة معينة، ويجب ألا يتعرض لأيّة مساوئ نتيجة للانتخابات""، تعكس المبدأ الأساسي للانتخابات الحرة في ألمانيا، كما هو منصوص عليه في المادة 38 من القانون الأساسي (Grundgesetz). هذا يعني أن اختيار الفرد لمن يصوت له هو أمر خاص به تمامًا، وخالٍ من الإكراه أو الرشوة أو التهديد. وهذا يضمن الشرعية الديمقراطية ويحمي حق الفرد في المشاركة في تشكيل الحكومة. الانتخابات الحرة هي حجر الزاوية في الديمقراطية الألمانية، وهي تعكس تاريخها وقيمها بعد الحرب العالمية الثانية، حيث تم تأسيس انتخابات حرة ونزيهة لمنع العودة إلى الاستبداد.",هذا السؤال يختبر مفهوم الانتخابات الحرة والنزيهة، وهو حجر الزاوية في النظم الديمقراطية. فهو يضمن قدرة الناخبين الأفراد على اتخاذ خياراتهم دون إكراه أو تأثير، مما يحمي نزاهة العملية الانتخابية.,"فكر ""اختيار حر، لا إكراه"": الانتخابات الحرة تعني أن لديك اختيارًا حرًا، ولا يمكن استخدام أي إكراه للتأثير على تصويتك.",,
6,EN,"The correct answer is 'Grundgesetz' (Basic Law).  After World War II, Germany needed a new constitution.  Instead of a permanent constitution, the Parliamentary Council created the Basic Law as a provisional constitution for West Germany.  It was intended to be replaced by a proper constitution upon reunification, but it has remained in effect, amended and adapted, even after reunification in 1990.  It outlines fundamental rights, the structure of government, and the principles of the Federal Republic of Germany.  It plays a crucial role in protecting individual liberties and shaping the democratic framework of the country.","This question tests knowledge of Germany's legal foundation and its constitution, the Grundgesetz.  Understanding this document is fundamental to understanding German governance and citizens' rights.","Imagine the German parliament building 'grounded' on the Basic Law (Grundgesetz).  The 'ground' represents the foundation, the constitution.",,
