ID,Language,Why_A_Wrong,Why_B_Wrong,Why_C_Wrong,Review_Status,Reviewer_Comments
4,AR,حيازة الأسلحة (Waffenbesitz) ليست حقًا أساسيًا في ألمانيا، وإنما هي امتياز تحكمه قوانين صارمة. الحق في حمل السلاح غير مضمون في القانون الأساسي ويخضع للترخيص والقيود.,«Faustrecht» (حق القبضة / العدالة الأهلية) هو عكس سيادة القانون. إنه يعني استخدام القوة لحل النزاعات بدلاً من العمليات القانونية، وهو أمر غير قانوني ويقوض النظام القضائي.,,,
5,EN,"Accepting money for a vote is bribery, which is illegal and undermines the integrity of free elections.  It is a criminal offense in Germany.","Having a criminal record does not disqualify someone from voting in Germany.  The right to vote is a fundamental right, and restrictions are limited to specific cases unrelated to general criminal history.",,,
5,DE,"Geld für eine Stimme anzunehmen ist Bestechung, was illegal ist und die Integrität freier Wahlen untergräbt. Es ist eine Straftat in Deutschland.","Eine Vorstrafe disqualifiziert niemanden von der Wahl in Deutschland. Das Wahlrecht ist ein Grundrecht, und Einschränkungen sind auf bestimmte Fälle beschränkt, die nichts mit der allgemeinen Kriminalgeschichte zu tun haben.",,,
5,TR,"Oy karşılığında para kabul etmek rüşvettir ve bu, yasa dışıdır ve serbest seçimlerin bütünlüğünü baltalar. Almanya'da cezai bir suçtur.","Sabıka kaydı olması, birinin Almanya'da oy kullanmasını engellemez. Oy kullanma hakkı temel bir haktır ve kısıtlamalar genel sabıka kaydıyla ilgisi olmayan belirli durumlarla sınırlıdır.",,,
5,UK,"Прийняття грошей за голос є хабарництвом, що є незаконним і підриває цілісність вільних виборів. Це кримінальний злочин у Німеччині.","Наявність судимості не позбавляє права голосу в Німеччині. Право голосу є основним правом, а обмеження обмежуються конкретними випадками, не пов'язаними із загальною кримінальною історією.",,,
5,AR,قبول المال مقابل التصويت هو رشوة، وهو أمر غير قانوني ويقوض نزاهة الانتخابات الحرة. إنها جريمة جنائية في ألمانيا.,إن وجود سجل جنائي لا يحرم الشخص من التصويت في ألمانيا. حق التصويت هو حق أساسي، والقيود تقتصر على حالات محددة لا علاقة لها بالتاريخ الجنائي العام.,,,
6,EN,"'Volksgesetz' (People's Law) is incorrect. There is no such official document called 'Volksgesetz' in the German legal system.  It might sound appealing, but it doesn't exist.","'Bundesgesetz' (Federal Law) refers to ordinary laws passed by the German parliament. While important, it's not the constitution. The constitution is the foundation upon which all other laws are built.",'Deutsches Gesetz' (German Law) is too general.  It doesn't specify the constitution and could refer to any law in Germany. The constitution has a specific name: Grundgesetz.,,
6,DE,"'Volksgesetz' ist falsch. Es gibt kein offizielles Dokument namens 'Volksgesetz' im deutschen Rechtssystem. Es mag zwar ansprechend klingen, existiert aber nicht.","'Bundesgesetz' bezieht sich auf gewöhnliche Gesetze, die vom deutschen Parlament verabschiedet werden. Bundesgesetze sind zwar wichtig, aber nicht die Verfassung. Die Verfassung ist die Grundlage, auf der alle anderen Gesetze aufbauen.",'Deutsches Gesetz' ist zu allgemein. Es spezifiziert nicht die Verfassung und könnte sich auf jedes beliebige Gesetz in Deutschland beziehen. Die Verfassung hat einen bestimmten Namen: Grundgesetz.,,
6,TR,'Volksgesetz' (Halk Yasası) yanlıştır. Alman hukuk sisteminde 'Volksgesetz' adında resmi bir belge yoktur. Kulağa hoş gelse de böyle bir şey yok.,"'Bundesgesetz' (Federal Yasa), Alman parlamentosu tarafından çıkarılan sıradan yasalara atıfta bulunur. Önemli olsa da anayasa değildir. Anayasa, diğer tüm yasaların üzerine inşa edildiği temeldir.",'Deutsches Gesetz' (Alman Yasası) çok geneldir. Anayasayı belirtmez ve Almanya'daki herhangi bir yasayı ifade edebilir. Anayasanın belirli bir adı vardır: Grundgesetz.,,
6,UK,"«Volksgesetz» (Народний закон) – неправильно. В німецькій правовій системі немає такого офіційного документа, як «Volksgesetz». Це може звучати привабливо, але такого не існує.","«Bundesgesetz» (Федеральний закон) стосується звичайних законів, прийнятих німецьким парламентом. Хоча вони й важливі, це не конституція. Конституція – це фундамент, на якому будуються всі інші закони.",«Deutsches Gesetz» (Німецький закон) – надто загальне поняття. Воно не визначає конституцію і може стосуватися будь-якого закону в Німеччині. Конституція має конкретну назву: Grundgesetz.,,
6,AR,"""Volksgesetz"" (قانون الشعب) غير صحيح. لا توجد وثيقة رسمية بهذا الاسم في النظام القانوني الألماني. قد يبدو جذابًا، لكنه غير موجود.","""Bundesgesetz"" (القانون الاتحادي) يشير إلى القوانين العادية التي يسنها البرلمان الألماني. بالرغم من أهميتها، إلا أنها ليست الدستور. الدستور هو الأساس الذي تُبنى عليه جميع القوانين الأخرى.","""Deutsches Gesetz"" (القانون الألماني) مصطلح عام جدًا. لا يحدد الدستور ويمكن أن يشير إلى أي قانون في ألمانيا. للدستور اسم محدد: Grundgesetz.",,
7,EN,,"Entertainment, while important for leisure, is not a fundamental right guaranteed by the German constitution.  The state does not have an obligation to provide entertainment, though it supports cultural activities.","While Germany strives for high employment, there's no fundamental right *to* a job enshrined in the Basic Law.  The state promotes employment through policies, but doesn't guarantee a specific job to everyone.",,
7,DE,,"Unterhaltung, obwohl wichtig für die Freizeit, ist kein Grundrecht, das durch das Grundgesetz garantiert wird. Der Staat hat keine Verpflichtung, Unterhaltung zu bieten, obwohl er kulturelle Aktivitäten unterstützt.","Während Deutschland eine hohe Beschäftigungsquote anstrebt, gibt es im Grundgesetz kein Grundrecht auf Arbeit. Der Staat fördert die Beschäftigung durch politische Maßnahmen, garantiert aber nicht jedem einen bestimmten Arbeitsplatz.",,
7,TR,,"Eğlence, boş zamanlar için önemli olsa da, Alman anayasası tarafından garanti edilen temel bir hak değildir. Devlet, kültürel faaliyetleri desteklemesine rağmen, eğlence sağlama yükümlülüğüne sahip değildir.","Almanya yüksek istihdam için çabalasa da, Temel Yasa'da belirtilen bir işe sahip olma temel hakkı yoktur. Devlet, politikalar yoluyla istihdamı teşvik eder, ancak herkese belirli bir iş garantisi vermez.",,
7,UK,,"Розваги, хоч і важливі для дозвілля, не є основним правом, гарантованим німецькою конституцією. Держава не має обов'язку забезпечувати розваги, хоча й підтримує культурні заходи.","Хоча Німеччина прагне до високої зайнятості, в Основному Законі немає основного права *на* роботу. Держава сприяє зайнятості через політику, але не гарантує конкретну роботу кожному.",,
7,AR,,على الرغم من أهمية الترفيه لقضاء وقت الفراغ، إلا أنه ليس حقًا أساسيًا مكفولًا بموجب الدستور الألماني. ليست الدولة ملزمة بتوفير الترفيه، على الرغم من أنها تدعم الأنشطة الثقافية.,في حين أن ألمانيا تسعى جاهدة لتحقيق مستوى عالٍ من التوظيف، إلا أنه لا يوجد حق أساسي في الحصول على وظيفة منصوص عليه في القانون الأساسي. تشجع الدولة التوظيف من خلال السياسات، لكنها لا تضمن وظيفة محددة لكل فرد.,,
8,EN,"Article 1 of the Basic Law explicitly states: ""Human dignity shall be inviolable."" This is a cornerstone of German constitutional law.",,"Freedom of expression is guaranteed by Article 5 of the Basic Law.  This includes freedom of speech, press, and assembly.",,
8,DE,"Artikel 1 des Grundgesetzes besagt ausdrücklich: ""Die Würde des Menschen ist unantastbar."" Dies ist ein Eckpfeiler des deutschen Verfassungsrechts.",,"Die Meinungsfreiheit wird durch Artikel 5 des Grundgesetzes garantiert. Dies umfasst die Rede-, Presse- und Versammlungsfreiheit.",,
8,TR,"Anayasa'nın 1. Maddesi açıkça şunu belirtir: ""İnsan onuru dokunulmazdır."" Bu, Alman anayasa hukukunun temel taşıdır.",,"İfade özgürlüğü, Anayasa'nın 5. Maddesi ile garanti altına alınmıştır. Bu, konuşma, basın ve toplanma özgürlüğünü içerir.",,
8,UK,Стаття 1 Основного закону чітко зазначає: «Людська гідність є недоторканною». Це є наріжним каменем німецького конституційного права.,,"Свобода слова гарантується статтею 5 Основного закону. Це включає свободу слова, преси та зібрань.",,
8,AR,"تنص المادة 1 من القانون الأساسي صراحة على ما يلي: ""كرامة الإنسان مصونة"". وهذا حجر الزاوية في القانون الدستوري الألماني.",,حرية التعبير مكفولة بموجب المادة 5 من القانون الأساسي. وهذا يشمل حرية الكلام والصحافة والتجمع.,,
9,EN,"Family protection (Schutz der Familie) applies to both Germans and foreigners residing in Germany. Article 6 of the Basic Law guarantees the protection of marriage and family.  It's a fundamental right for everyone in the country, not just foreigners.","Human dignity (Menschenwürde) is the cornerstone of German Basic Law (Article 1).  It's a universal right applying to all individuals, regardless of nationality or status.  It's not specific to foreigners.",,,
9,DE,"Der Schutz der Familie (Artikel 6 Grundgesetz) gilt für alle in Deutschland lebenden Personen, sowohl Deutsche als auch Ausländer. Es ist ein allgemeines Grundrecht und nicht auf Ausländer beschränkt.","Die Menschenwürde (Artikel 1 Grundgesetz) ist ein universelles Grundrecht, das jedem Menschen, unabhängig von seiner Nationalität oder seinem Status, zusteht. Es ist nicht spezifisch für Ausländer.",,,
9,TR,"Aile koruması (Schutz der Familie), Almanya'da ikamet eden Almanlar ve yabancılar için geçerlidir. Anayasa'nın 6. Maddesi, evlilik ve ailenin korunmasını garanti eder. Bu, yalnızca yabancılar için değil, ülkedeki herkes için temel bir haktır.","İnsan onuru (Menschenwürde), Alman Anayasası'nın (1. Madde) temel taşıdır. Uyruğundan veya statüsünden bağımsız olarak tüm bireyler için geçerli olan evrensel bir haktır. Yabancılara özgü değildir.",,,
9,UK,"Захист сім'ї (Schutz der Familie) поширюється як на німців, так і на іноземців, що проживають у Німеччині. Стаття 6 Основного закону гарантує захист шлюбу та сім'ї. Це основне право для кожного в країні, а не лише для іноземців.","Людська гідність (Menschenwürde) є наріжним каменем Основного закону Німеччини (стаття 1). Це універсальне право, яке застосовується до всіх осіб, незалежно від національності чи статусу. Воно не є специфічним для іноземців.",,,
9,AR,تنطبق حماية الأسرة (Schutz der Familie) على كل من الألمان والأجانب المقيمين في ألمانيا. تضمن المادة 6 من القانون الأساسي حماية الزواج والأسرة. إنه حق أساسي لكل فرد في الدولة، وليس للأجانب فقط.,الكرامة الإنسانية (Menschenwürde) هي حجر الزاوية في القانون الأساسي الألماني (المادة 1). إنه حق عالمي ينطبق على جميع الأفراد، بغض النظر عن جنسيتهم أو وضعهم. إنه ليس خاصًا بالأجانب.,,,
10,EN,"Corporal punishment (Prügelstrafe) is prohibited as it violates human dignity, a fundamental principle protected by Article 1 of the German Basic Law.","Torture (Folter) is absolutely forbidden under German law and international human rights standards, as it is a severe violation of human dignity (Article 1 of the Basic Law).",The death penalty (Todesstrafe) is unconstitutional in Germany. It was abolished in 1949 and is explicitly prohibited by Article 102 of the Basic Law.,,
10,DE,"Körperliche Züchtigung ('Prügelstrafe') ist verboten, da sie gegen die Menschenwürde verstößt, ein Grundprinzip, das durch Artikel 1 des Grundgesetzes geschützt ist.","Folter ist nach deutschem Recht und internationalen Menschenrechtsstandards absolut verboten, da sie eine schwere Verletzung der Menschenwürde darstellt (Artikel 1 des Grundgesetzes).",Die Todesstrafe ist in Deutschland verfassungswidrig. Sie wurde 1949 abgeschafft und ist durch Artikel 102 des Grundgesetzes ausdrücklich verboten.,,
10,TR,"Dayak cezası ('Prügelstrafe'), Alman Anayasası'nın 1. Maddesi tarafından korunan temel bir ilke olan insan onuruna aykırı olduğu için yasaktır.","İşkence ('Folter'), insan onurunun ağır bir ihlali olduğu için Alman yasalarına ve uluslararası insan hakları standartlarına göre kesinlikle yasaktır (Anayasa'nın 1. Maddesi).",Ölüm cezası ('Todesstrafe') Almanya'da anayasaya aykırıdır. 1949'da kaldırılmış ve Anayasa'nın 102. Maddesi ile açıkça yasaklanmıştır.,,
10,UK,"Тілесні покарання («Prügelstrafe») заборонені, оскільки вони порушують людську гідність, основоположний принцип, захищений статтею 1 Основного закону Німеччини.","Тортури («Folter») абсолютно заборонені німецьким законодавством та міжнародними стандартами прав людини, оскільки це серйозне порушення людської гідності (стаття 1 Основного закону).",Смертна кара («Todesstrafe») є неконституційною в Німеччині. Вона була скасована в 1949 році та прямо заборонена статтею 102 Основного закону.,,
10,AR,"العقاب البدني (""Prügelstrafe"") محظور لأنه ينتهك كرامة الإنسان، وهو مبدأ أساسي يحميه المادة 1 من القانون الأساسي الألماني.","التعذيب (""Folter"") محظور تمامًا بموجب القانون الألماني والمعايير الدولية لحقوق الإنسان، لأنه انتهاك خطير لكرامة الإنسان (المادة 1 من القانون الأساسي).","عقوبة الإعدام (""Todesstrafe"") غير دستورية في ألمانيا. تم إلغاؤها في عام 1949 وهي محظورة صراحة بموجب المادة 102 من القانون الأساسي.",,
11,EN,,"'Bundesverfassung' (Federal Constitution) is incorrect. While it reflects the federal structure of Germany, the official term is 'Grundgesetz.'  Using 'Bundesverfassung' demonstrates a misunderstanding of the specific legal terminology.","'Gesetzbuch' (Law Book/Code) is incorrect. A Gesetzbuch is a codified collection of laws on a specific topic, like the 'Bürgerliches Gesetzbuch' (Civil Code). The constitution, even a provisional one, encompasses broader principles and the structure of the state, not just specific areas of law.",,
11,DE,,"'Bundesverfassung' ist falsch. Obwohl es die föderale Struktur Deutschlands widerspiegelt, ist der offizielle Begriff 'Grundgesetz'. Die Verwendung von 'Bundesverfassung' zeigt ein Missverständnis der spezifischen juristischen Terminologie.","'Gesetzbuch' ist falsch. Ein Gesetzbuch ist eine kodifizierte Sammlung von Gesetzen zu einem bestimmten Thema, wie das 'Bürgerliche Gesetzbuch'. Die Verfassung, auch eine vorläufige, umfasst umfassendere Prinzipien und die Struktur des Staates, nicht nur bestimmte Rechtsbereiche.",,
11,TR,,"'Bundesverfassung' (Federal Anayasa) yanlıştır. Almanya'nın federal yapısını yansıtsa da, resmi terim 'Grundgesetz'dir. 'Bundesverfassung' kullanmak, belirli yasal terminolojinin yanlış anlaşılmasını gösterir.","'Gesetzbuch' (Kanun Kitabı/Kanunu) yanlıştır. Gesetzbuch, 'Bürgerliches Gesetzbuch' (Medeni Kanun) gibi belirli bir konudaki yasaların kodlanmış bir koleksiyonudur. Anayasa, geçici olsa bile, yalnızca belirli hukuk alanlarını değil, daha geniş ilkeleri ve devletin yapısını kapsar.",,
11,UK,,"«Bundesverfassung» (Федеральна Конституція) – неправильно. Хоча це відображає федеральну структуру Німеччини, офіційний термін – «Grundgesetz». Використання «Bundesverfassung» демонструє нерозуміння специфічної юридичної термінології.","«Gesetzbuch» (Збірник законів/Кодекс) – неправильно. Gesetzbuch – це кодифікований збірник законів з певної теми, як-от «Bürgerliches Gesetzbuch» (Цивільний кодекс). Конституція, навіть тимчасова, охоплює ширші принципи та структуру держави, а не лише конкретні галузі права.",,
11,AR,,"إن ""Bundesverfassung"" (الدستور الاتحادي) غير صحيح. على الرغم من أنه يعكس الهيكل الاتحادي لألمانيا، إلا أن المصطلح الرسمي هو ""Grundgesetz"". يُظهر استخدام ""Bundesverfassung"" سوء فهم للمصطلحات القانونية المحددة.","إن ""Gesetzbuch"" (كتاب القانون / القانون) غير صحيح. Gesetzbuch عبارة عن مجموعة قوانين مدونة حول موضوع معين، مثل ""Bürgerliches Gesetzbuch"" (القانون المدني). يشمل الدستور، حتى المؤقت، مبادئ أوسع وهيكل الدولة، وليس فقط مجالات قانونية محددة.",,
12,EN,A simple majority is not enough to abolish a fundamental right. The Basic Law requires a much higher threshold for amendments that affect basic rights.,"While a two-thirds majority is significant, it's still insufficient to remove a fundamental right.  The Basic Law protects these rights from being abolished.",,,
12,DE,"Eine einfache Mehrheit reicht nicht aus, um ein Grundrecht abzuschaffen. Das Grundgesetz verlangt eine viel höhere Schwelle für Änderungen, die Grundrechte betreffen.","Zwar ist eine Zweidrittelmehrheit bedeutend, aber sie reicht immer noch nicht aus, um ein Grundrecht aufzuheben. Das Grundgesetz schützt diese Rechte davor, abgeschafft zu werden.",,,
12,TR,"Temel bir hakkı kaldırmak için basit çoğunluk yeterli değildir. Anayasa, temel hakları etkileyen değişiklikler için çok daha yüksek bir eşik gerektirir.","Üçte iki çoğunluk önemli olsa da, temel bir hakkı kaldırmak için yine de yeterli değildir. Anayasa, bu hakların kaldırılmasını engeller.",,,
12,UK,"Простої більшості недостатньо для скасування основного права. Основний закон вимагає набагато вищого порогу для змін, що впливають на основні права.","Хоча дві третини більшості є значними, цього все ще недостатньо для скасування основного права. Основний закон захищає ці права від скасування.",,,
12,AR,الأغلبية البسيطة لا تكفي لإلغاء حق أساسي. يتطلب القانون الأساسي عتبة أعلى بكثير للتعديلات التي تؤثر على الحقوق الأساسية.,في حين أن أغلبية الثلثين مهمة، إلا أنها لا تزال غير كافية لإزالة حق أساسي. يحمي القانون الأساسي هذه الحقوق من الإلغاء.,,,
13,EN,"Option A, ""the governing parties,"" is incorrect because the opposition is, by definition, not the governing parties.  They are the parties and members who are not part of the ruling coalition.","Option B, ""the fraction with the most members of parliament,"" is incorrect. While the largest party often forms the government, it's not the definition of the opposition. The opposition can be comprised of multiple parties, large or small, as long as they are not part of the government.","Option C, ""all parties that reached the 5% threshold in the last election,"" is incorrect.  While the 5% threshold determines which parties enter parliament, it doesn't define the opposition.  Parties that cleared the 5% hurdle can be part of the government or the opposition.",,
13,DE,"Option A, ""die regierenden Parteien,"" ist falsch, da die Opposition per Definition nicht die Regierungsparteien sind. Sie sind die Parteien und Mitglieder, die nicht Teil der Regierungskoalition sind.","Option B, ""die Fraktion mit den meisten Abgeordneten,"" ist falsch. Während die größte Partei oft die Regierung bildet, ist dies nicht die Definition der Opposition. Die Opposition kann aus mehreren Parteien bestehen, groß oder klein, solange sie nicht Teil der Regierung sind.","Option C, ""alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten,"" ist falsch.  Die 5%-Hürde bestimmt zwar, welche Parteien ins Parlament einziehen, definiert aber nicht die Opposition. Parteien, die die 5%-Hürde genommen haben, können Teil der Regierung oder der Opposition sein.",,
