id,question,options,correct,category,difficulty,question_type,state,page_number,is_image_question,image_paths,image_mapping
41,Warum gibt es in einer Demokratie mehr als eine Partei?,"[""weil dadurch die unterschiedlichen Meinungen der B\u00fcrgerinnen und B\u00fcrger vertreten werden"", ""damit Bestechung in der Politik begrenzt wird"", ""um politische Demonstrationen zu verhindern"", ""um wirtschaftlichen Wettbewerb anzuregen""]",weil dadurch die unterschiedlichen Meinungen der Bürgerinnen und Bürger vertreten werden,Demokratie und Wahlen,easy,general,,14,False,[],
42,Wer beschließt in Deutschland ein neues Gesetz?,"[""die Regierung"", ""das Parlament"", ""die Gerichte"", ""die Polizei""]",das Parlament,Rechtssystem,easy,general,,14,False,[],
43,Wann kann in Deutschland eine Partei verboten werden?,"[""wenn ihr Wahlkampf zu teuer ist"", ""wenn sie gegen die Verfassung k\u00e4mpft"", ""wenn sie Kritik am Staatsoberhaupt \u00e4u\u00dfert"", ""wenn ihr Programm eine neue Richtung vorschl\u00e4gt""]",wenn sie gegen die Verfassung kämpft,Rechtssystem,medium,general,,15,False,[],
44,Wen kann man als Bürgerin/Bürger in Deutschland nicht direkt wählen?,"[""Abgeordnete des EU-Parlaments"", ""Die Bundespr\u00e4sidentin/den Bundespr\u00e4sidenten"", ""Landtagsabgeordnete"", ""Bundestagsabgeordnete""]",Die Bundespräsidentin/den Bundespräsidenten,Demokratie und Wahlen,medium,general,,15,False,[],
45,Zu welcher Versicherung gehört die Pflegeversicherung?,"[""Sozialversicherung"", ""Unfallversicherung"", ""Hausratsversicherung"", ""Haftpflicht- und Feuerversicherung""]",Sozialversicherung,Kultur und Gesellschaft,easy,general,,15,False,[],
46,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?,"[""Er baut Stra\u00dfen und Schulen."", ""Er verkauft Lebensmittel und Kleidung."", ""Er versorgt alle Einwohnerinnen und Einwohner kostenlos mit Zeitungen."", ""Er produziert Autos und Busse.""]",Er baut Straßen und Schulen.,Allgemein,easy,general,,16,False,[],
47,Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?,"[""Er bezahlt f\u00fcr alle Staatsangeh\u00f6rigen Urlaubsreisen."", ""Er zahlt Kindergeld."", ""Er unterst\u00fctzt Museen."", ""Er f\u00f6rdert Sportlerinnen und Sportler.""]",Er bezahlt für alle Staatsangehörigen Urlaubsreisen.,Allgemein,easy,general,,16,False,[],
48,Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?,"[""der Bundesrat"", ""die Bundespr\u00e4sidentin/der Bundespr\u00e4sident"", ""die B\u00fcrgerversammlung"", ""die Regierung""]",die Bürgerversammlung,Grundrechte,medium,general,,16,False,[],
49,Wer bestimmt in Deutschland die Schulpolitik?,"[""die Lehrer und Lehrerinnen"", ""die Bundesl\u00e4nder"", ""das Familienministerium"", ""die Universit\u00e4ten""]",die Bundesländer,Föderalismus,easy,general,,17,False,[],
50,Die Wirtschaftsform in Deutschland nennt man …,"[""freie Zentralwirtschaft."", ""soziale Marktwirtschaft."", ""gelenkte Zentralwirtschaft."", ""Planwirtschaft.""]",soziale Marktwirtschaft.,Kultur und Gesellschaft,easy,general,,17,False,[],
51,"Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","[""Menschen sich kritisch \u00fcber die Regierung \u00e4u\u00dfern k\u00f6nnen."", ""B\u00fcrger friedlich demonstrieren gehen d\u00fcrfen."", ""Menschen von einer Privatpolizei ohne Grund verhaftet werden."", ""jemand ein Verbrechen begeht und deshalb verhaftet wird.""]",Menschen von einer Privatpolizei ohne Grund verhaftet werden.,Rechtssystem,medium,general,,17,False,[],
52,"Was bedeutet ""Volkssouveränität""? Alle Staatsgewalt geht vom ...","[""Volke aus."", ""Bundestag aus."", ""preu\u00dfischen K\u00f6nig aus."", ""Bundesverfassungsgericht aus.""]",Volke aus.,Grundrechte,medium,general,,18,False,[],
53,"Was bedeutet ""Rechtsstaat"" in Deutschland?","[""Der Staat hat Recht."", ""Es gibt nur rechte Parteien."", ""Die B\u00fcrgerinnen und B\u00fcrger entscheiden \u00fcber Gesetze."", ""Der Staat muss die Gesetze einhalten.""]",Der Staat muss die Gesetze einhalten.,Rechtssystem,easy,general,,18,False,[],
54,Was ist keine staatliche Gewalt in Deutschland?,"[""Legislative"", ""Judikative"", ""Exekutive"", ""Direktive""]",Direktive,Rechtssystem,medium,general,,18,False,[],
55,Was zeigt dieses Bild?,"[""den Bundestagssitz in Berlin"", ""das Bundesverfassungsgericht in Karlsruhe"", ""das Bundesratsgeb\u00e4ude in Berlin"", ""das Bundeskanzleramt in Berlin""]",den Bundestagssitz in Berlin,Demokratie und Wahlen,easy,general,,19,False,"[""images/55.png""]",single
56,Welches Amt gehört in Deutschland zur Gemeindeverwaltung?,"[""Pfarramt"", ""Ordnungsamt"", ""Finanzamt"", ""Ausw\u00e4rtiges Amt""]",Ordnungsamt,Föderalismus,medium,general,,19,False,[],
57,Wer wird meistens zur Präsidentin/zum Präsidenten des Deutschen Bundestages gewählt?,"[""die/der \u00e4lteste Abgeordnete im Parlament"", ""die Ministerpr\u00e4sidentin/der Ministerpr\u00e4sident des gr\u00f6\u00dften Bundeslandes"", ""eine ehemalige Bundeskanzlerin/ein ehemaliger Bundeskanzler"", ""eine Abgeordnete/ein Abgeordneter der st\u00e4rksten Fraktion""]",eine Abgeordnete/ein Abgeordneter der stärksten Fraktion,Demokratie und Wahlen,medium,general,,19,False,[],
58,Wer ernennt in Deutschland die Ministerinnen/die Minister der Bundesregierung?,"[""die Pr\u00e4sidentin/der Pr\u00e4sident des Bundesverfassungsgerichtes"", ""die Bundespr\u00e4sidentin/der Bundespr\u00e4sident"", ""die Bundesratspr\u00e4sidentin/der Bundesratspr\u00e4sident"", ""die Bundestagspr\u00e4sidentin/der Bundestagspr\u00e4sident""]",die Bundespräsidentin/der Bundespräsident,Demokratie und Wahlen,medium,general,,20,False,[],
59,Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?,"[""vor etwa 300 Jahren"", ""vor etwa 700 Jahren"", ""vor etwa 1150 Jahren"", ""vor etwa 1700 Jahren""]",vor etwa 1700 Jahren,Geschichte,hard,general,,20,False,[],
60,In Deutschland gehören der Bundestag und der Bundesrat zur …,"[""Exekutive."", ""Legislative."", ""Direktive."", ""Judikative.""]",Legislative.,Demokratie und Wahlen,easy,general,,20,False,[],
61,"Was bedeutet ""Volkssouveränität""?","[""Die K\u00f6nigin/der K\u00f6nig herrscht \u00fcber das Volk."", ""Das Bundesverfassungsgericht steht \u00fcber der Verfassung."", ""Die Interessenverb\u00e4nde \u00fcben die Souver\u00e4nit\u00e4t zusammen mit der Regierung aus."", ""Die Staatsgewalt geht vom Volke aus.""]",Die Staatsgewalt geht vom Volke aus.,Grundrechte,medium,general,,21,False,[],
62,"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …","[""Kommunalwahl"", ""Landtagswahl"", ""Europawahl"", ""Bundestagswahl""]",Landtagswahl,Demokratie und Wahlen,easy,general,,21,False,[],
63,Was gehört in Deutschland nicht zur Exekutive?,"[""die Polizei"", ""die Gerichte"", ""das Finanzamt"", ""die Ministerien""]",die Gerichte,Rechtssystem,medium,general,,21,False,[],
64,Die Bundesrepublik Deutschland ist heute gegliedert in …,"[""vier Besatzungszonen."", ""einen Oststaat und einen Weststaat."", ""16 Kantone."", ""Bund, L\u00e4nder und Kommunen.""]","Bund, Länder und Kommunen.",Föderalismus,easy,general,,22,False,[],
65,"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …","[""Gesetze zu entwerfen."", ""die Bundesregierung zu kontrollieren."", ""die Bundeskanzlerin/den Bundeskanzler zu w\u00e4hlen."", ""das Bundeskabinett zu bilden.""]",das Bundeskabinett zu bilden.,Demokratie und Wahlen,medium,general,,22,False,[],
66,Welche Städte haben die größten jüdischen Gemeinden in Deutschland?,"[""Berlin und M\u00fcnchen"", ""Hamburg und Essen"", ""N\u00fcrnberg und Stuttgart"", ""Worms und Speyer""]",Berlin und München,Kultur und Gesellschaft,hard,general,,22,False,[],
67,Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?,"[""Verteidigungspolitik"", ""Au\u00dfenpolitik"", ""Wirtschaftspolitik"", ""Schulpolitik""]",Schulpolitik,Föderalismus,easy,general,,23,False,[],
68,Warum kontrolliert der Staat in Deutschland das Schulwesen?,"[""weil es in Deutschland nur staatliche Schulen gibt"", ""weil alle Sch\u00fclerinnen und Sch\u00fcler einen Schulabschluss haben m\u00fcssen"", ""weil es in den Bundesl\u00e4ndern verschiedene Schulen gibt"", ""weil es nach dem Grundgesetz seine Aufgabe ist""]",weil es nach dem Grundgesetz seine Aufgabe ist,Grundrechte,medium,general,,23,False,[],
69,Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?,"[""Stadtr\u00e4te"", ""Landr\u00e4te"", ""Gemeinden"", ""Bezirks\u00e4mter""]",Gemeinden,Föderalismus,easy,general,,23,False,[],
70,Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?,"[""Sie/Er f\u00fchrt die Regierungsgesch\u00e4fte."", ""Sie/Er kontrolliert die Regierungspartei."", ""Sie/Er w\u00e4hlt die Ministerinnen/Minister aus."", ""Sie/Er schl\u00e4gt die Kanzlerin/den Kanzler zur Wahl vor.""]",Sie/Er schlägt die Kanzlerin/den Kanzler zur Wahl vor.,Demokratie und Wahlen,medium,general,,24,False,"[""images/70.png""]",single
71,Wo hält sich die deutsche Bundeskanzlerin/der deutsche Bundeskanzler am häufigsten auf? Am häufigsten ist sie/er …,"[""in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden."", ""auf Schloss Meseberg, dem G\u00e4stehaus der Bundesregierung, um Staatsg\u00e4ste zu empfangen."", ""auf Schloss Bellevue, dem Amtssitz der Bundespr\u00e4sidentin/des Bundespr\u00e4sidenten, um Staatsg\u00e4ste zu empfangen."", ""in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.""]","in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.",Geografie,easy,general,,24,False,[],
72,Wie heißt die jetzige Bundeskanzlerin/der jetzige Bundeskanzler von Deutschland?,"[""Gerhard Schr\u00f6der"", ""Angela Merkel"", ""Ursula von der Leyen"", ""Friedrich Merz""]",Angela Merkel,Demokratie und Wahlen,easy,general,,24,False,[],
73,Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …,"[""CDU/CSU und AfD."", ""Die Linke und B\u00fcndnis 90/Die Gr\u00fcnen."", ""B\u00fcndnis 90/Die Gr\u00fcnen und SPD."", ""Die Linke und CDU/CSU.""]",Bündnis 90/Die Grünen und SPD.,Demokratie und Wahlen,hard,general,,25,False,[],
74,Wie heißt das Parlament für ganz Deutschland?,"[""Bundesversammlung"", ""Volkskammer"", ""Bundestag"", ""Bundesgerichtshof""]",Bundestag,Demokratie und Wahlen,easy,general,,25,False,[],
75,Wie heißt Deutschlands heutiges Staatsoberhaupt?,"[""Frank-Walter Steinmeier"", ""B\u00e4rbel Bas"", ""Bodo Ramelow"", ""Joachim Gauck""]",Frank-Walter Steinmeier,Demokratie und Wahlen,easy,general,,25,False,[],
76,Was bedeutet die Abkürzung CDU in Deutschland?,"[""Christliche Deutsche Union"", ""Club Deutscher Unternehmer"", ""Christlicher Deutscher Umweltschutz"", ""Christlich Demokratische Union""]",Christlich Demokratische Union,Demokratie und Wahlen,easy,general,,26,False,[],
77,Was ist die Bundeswehr?,"[""die deutsche Polizei"", ""ein deutscher Hafen"", ""eine deutsche B\u00fcrgerinitiative"", ""die deutsche Armee""]",die deutsche Armee,Allgemein,easy,general,,26,False,[],
78,Was bedeutet die Abkürzung SPD?,"[""Sozialistische Partei Deutschlands"", ""Sozialpolitische Partei Deutschlands"", ""Sozialdemokratische Partei Deutschlands"", ""Sozialgerechte Partei Deutschlands""]",Sozialdemokratische Partei Deutschlands,Demokratie und Wahlen,easy,general,,26,False,[],
79,Was bedeutet die Abkürzung FDP in Deutschland?,"[""Friedliche Demonstrative Partei"", ""Freie Deutschland Partei"", ""F\u00fchrende Demokratische Partei"", ""Freie Demokratische Partei""]",Freie Demokratische Partei,Demokratie und Wahlen,easy,general,,27,False,[],
80,Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?,"[""Oberlandesgericht"", ""Amtsgericht"", ""Bundesverfassungsgericht"", ""Verwaltungsgericht""]",Bundesverfassungsgericht,Rechtssystem,medium,general,,27,False,[],
81,Wer wählt die Bundeskanzlerin/den Bundeskanzler in Deutschland?,"[""der Bundesrat"", ""die Bundesversammlung"", ""das Volk"", ""der Bundestag""]",der Bundestag,Demokratie und Wahlen,easy,general,,27,False,[],
82,Wer leitet das deutsche Bundeskabinett?,"[""die Bundestagspr\u00e4sidentin/der Bundestagspr\u00e4sident"", ""die Bundespr\u00e4sidentin/der Bundespr\u00e4sident"", ""die Bundesratspr\u00e4sidentin/der Bundesratspr\u00e4sident"", ""die Bundeskanzlerin/der Bundeskanzler""]",die Bundeskanzlerin/der Bundeskanzler,Demokratie und Wahlen,easy,general,,28,False,[],
83,Wer wählt die deutsche Bundeskanzlerin/den deutschen Bundeskanzler?,"[""das Volk"", ""die Bundesversammlung"", ""der Bundestag"", ""die Bundesregierung""]",der Bundestag,Demokratie und Wahlen,easy,general,,28,False,[],
84,Welche Hauptaufgabe hat die deutsche Bundespräsidentin/der deutsche Bundespräsident? Sie/Er …,"[""regiert das Land."", ""entwirft die Gesetze."", ""repr\u00e4sentiert das Land."", ""\u00fcberwacht die Einhaltung der Gesetze.""]",repräsentiert das Land.,Demokratie und Wahlen,easy,general,,28,False,[],
85,Wer bildet den deutschen Bundesrat?,"[""die Abgeordneten des Bundestages"", ""die Ministerinnen und Minister der Bundesregierung"", ""die Regierungsvertreter der Bundesl\u00e4nder"", ""die Parteimitglieder""]",die Regierungsvertreter der Bundesländer,Föderalismus,medium,general,,29,False,[],
86,Wer wählt in Deutschland die Bundespräsidentin/den Bundespräsidenten?,"[""die Bundesversammlung"", ""der Bundesrat"", ""das Bundesparlament"", ""das Bundesverfassungsgericht""]",die Bundesversammlung,Demokratie und Wahlen,medium,general,,29,False,[],
87,Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?,"[""die Bundeskanzlerin/der Bundeskanzler"", ""die Bundespr\u00e4sidentin/der Bundespr\u00e4sident"", ""die Bundesratspr\u00e4sidentin/der Bundesratspr\u00e4sident"", ""die Bundestagspr\u00e4sidentin/der Bundestagspr\u00e4sident""]",die Bundespräsidentin/der Bundespräsident,Demokratie und Wahlen,easy,general,,29,False,[],
88,Die parlamentarische Opposition im Deutschen Bundestag …,"[""kontrolliert die Regierung."", ""entscheidet, wer Bundesministerin/Bundesminister wird."", ""bestimmt, wer im Bundesrat sitzt."", ""schl\u00e4gt die Regierungschefinnen/Regierungschefs der L\u00e4nder vor.""]",kontrolliert die Regierung.,Demokratie und Wahlen,medium,general,,30,False,[],
89,Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?,"[""Verband"", ""\u00c4ltestenrat"", ""Fraktion"", ""Opposition""]",Fraktion,Demokratie und Wahlen,easy,general,,30,False,[],
90,Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …,"[""den Bundesrat."", ""die Bundesversammlung."", ""den Bundestag."", ""die Bundesregierung.""]",den Bundesrat.,Föderalismus,medium,general,,30,False,[],
